id,seed,category,check_zh,verdict_pass_fail_uncertain,evidence,image_path
spatial_01,0,left_right,朝向沙发观察：红椅在左，蓝椅在右；座椅均朝向观察点。,,,
spatial_02,0,left_right,与01成对：只交换红蓝椅左右关系。,,,
spatial_03,0,vertical,同一墙面由上到下：时钟、画、桌。,,,
spatial_04,0,vertical,与03成对：只交换时钟与画的上下关系。,,,
spatial_05,0,between,黄凳在两个书柜之间；面对它们时红左蓝右。,,,
spatial_06,0,depth,沿同一方向，红球最近、蓝方块居中、黄柱最远，均部分可见。,,,
spatial_07,0,occlusion,桌遮挡蓝椅下半部，椅背仍在桌上方可见。,,,
spatial_08,0,occlusion,与07形成遮挡对照：蓝椅遮挡桌中部，两端可见。,,,
spatial_09,0,count,恰好三把红凳；整张全景不得额外增加椅凳。,,,
spatial_10,0,count,与09成对：仅将三把改为四把。,,,
spatial_11,0,containment,红球在透明盒内，蓝方块在盒外；通过遮挡和边界判断。,,,
spatial_12,0,containment,与11成对：交换盒内外物体。,,,
spatial_13,0,connectivity,面向走廊尽头：左门通厨房，右门通卧室，尽头无门。,,,
spatial_14,0,connectivity,与13成对：交换门后房间。,,,
spatial_15,0,opposite,红门与唯一大窗位于相对墙；需旋转视图检查，不能只看ERP左右。,,,
spatial_16,0,adjacent,门窗在相邻墙，门对面无开口；与15对照。,,,
spatial_17,0,support,工具箱由桌面支撑，桶在桌下地面且位于其正下方。,,,
spatial_18,0,multi_relation,床居中；红灯左、蓝灯右；画在床头正上方。,,,
spatial_19,0,circular_order,从红面板起向右转，顺序红蓝黄绿；全景一周恰好四块。,,,
spatial_20,0,boundary_continuity,绕视点整圈书架连续，层板高度衔接；检查ERP左右接缝与多个透视方向。,,,
